Model,Pearson Correlation,Spearman Correlation,Mean Squared Error
MiniLM,0.9928127185568211,0.9999999999999999,0.07280883250666599
Matryoshka,0.9888368621940501,0.9999999999999999,0.18765913879413354
Cohere,0.9911533848074684,0.9999999999999999,0.14669641279067033
HF_BAAI,0.992189522364842,0.9999999999999999,1.547897454729304
OpenAI,0.9871988278726298,0.9999999999999999,4.487634292210034
